/home/simba/.virtualenvs/QIP/lib/python3.12/site-packages/cotengra/hyperoptimizers/hyper.py:36: UserWarning: Couldn't import `kahypar` - skipping from default hyper optimizer and using basic `labels` method instead. `kahypar` is highly recommended for the best quality contraction paths.
  warnings.warn(
  p=0.01   seed=1 X@1: L=10 maxS1=5.0098 (bond 4, S0=5.55, Sinf=4.09)
  p=0.02   seed=0 X@3: L= 1 maxS1=1.2984 (bond 2, S0=1.39, Sinf=0.85)
  p=0.02   seed=0 X@3: L= 2 maxS1=2.3463 (bond 2, S0=2.77, Sinf=1.63)
  p=0.02   seed=0 X@3: L= 3 maxS1=3.2516 (bond 4, S0=4.16, Sinf=1.74)
  p=0.02   seed=0 X@3: L= 4 maxS1=4.1305 (bond 4, S0=5.55, Sinf=2.54)
  p=0.02   seed=0 X@3: L= 5 maxS1=4.5425 (bond 4, S0=5.55, Sinf=2.98)
  p=0.02   seed=0 X@3: L= 6 maxS1=4.6954 (bond 4, S0=5.55, Sinf=3.27)
  p=0.02   seed=0 X@3: L= 7 maxS1=4.8311 (bond 4, S0=5.55, Sinf=3.45)
  p=0.02   seed=0 X@3: L= 8 maxS1=4.9787 (bond 4, S0=5.55, Sinf=3.84)
  p=0.02   seed=0 X@3: L= 9 maxS1=5.0164 (bond 4, S0=5.55, Sinf=4.02)
  p=0.02   seed=0 X@3: L=10 maxS1=5.0328 (bond 4, S0=5.55, Sinf=4.09)
  p=0.02   seed=0 Z@3: L= 1 maxS1=1.2007 (bond 2, S0=1.39, Sinf=0.73)
  p=0.02   seed=0 Z@3: L= 2 maxS1=2.2483 (bond 4, S0=2.77, Sinf=1.45)
  p=0.02   seed=0 Z@3: L= 3 maxS1=3.4673 (bond 4, S0=4.16, Sinf=2.37)
  p=0.02   seed=0 Z@3: L= 4 maxS1=4.3873 (bond 4, S0=5.55, Sinf=2.98)
  p=0.02   seed=0 Z@3: L= 5 maxS1=4.7515 (bond 4, S0=5.55, Sinf=3.42)
  p=0.02   seed=0 Z@3: L= 6 maxS1=4.8608 (bond 4, S0=5.55, Sinf=3.55)
  p=0.02   seed=0 Z@3: L= 7 maxS1=4.9352 (bond 4, S0=5.55, Sinf=3.67)
  p=0.02   seed=0 Z@3: L= 8 maxS1=5.0119 (bond 4, S0=5.55, Sinf=3.96)
  p=0.02   seed=0 Z@3: L= 9 maxS1=5.0309 (bond 4, S0=5.55, Sinf=4.16)
  p=0.02   seed=0 Z@3: L=10 maxS1=5.0349 (bond 4, S0=5.55, Sinf=4.16)
  p=0.02   seed=0 X@1: L= 1 maxS1=1.3619 (bond 2, S0=1.39, Sinf=1.08)
  p=0.02   seed=0 X@1: L= 2 maxS1=1.9871 (bond 2, S0=2.77, Sinf=1.34)
  p=0.02   seed=0 X@1: L= 3 maxS1=2.5535 (bond 2, S0=2.77, Sinf=1.77)
  p=0.02   seed=0 X@1: L= 4 maxS1=3.3413 (bond 4, S0=4.16, Sinf=2.06)
  p=0.02   seed=0 X@1: L= 5 maxS1=3.9706 (bond 4, S0=5.55, Sinf=2.61)
  p=0.02   seed=0 X@1: L= 6 maxS1=4.3052 (bond 4, S0=5.55, Sinf=2.92)
  p=0.02   seed=0 X@1: L= 7 maxS1=4.5968 (bond 4, S0=5.55, Sinf=3.18)
  p=0.02   seed=0 X@1: L= 8 maxS1=4.9204 (bond 4, S0=5.55, Sinf=3.60)
  p=0.02   seed=0 X@1: L= 9 maxS1=4.9825 (bond 4, S0=5.55, Sinf=3.78)
  p=0.02   seed=0 X@1: L=10 maxS1=5.0167 (bond 4, S0=5.55, Sinf=3.95)
  p=0.02   seed=1 X@3: L= 1 maxS1=1.1857 (bond 4, S0=1.39, Sinf=0.62)
  p=0.02   seed=1 X@3: L= 2 maxS1=2.1675 (bond 2, S0=2.77, Sinf=1.69)
  p=0.02   seed=1 X@3: L= 3 maxS1=3.0671 (bond 4, S0=4.16, Sinf=1.82)
  p=0.02   seed=1 X@3: L= 4 maxS1=3.8888 (bond 4, S0=5.55, Sinf=2.68)
  p=0.02   seed=1 X@3: L= 5 maxS1=4.5916 (bond 4, S0=5.55, Sinf=3.33)
