t,gamma,pqc_mean,pqc_sem,n_pqc,pqc_min_train,trott1_mean,trott1_sem,n_trott1,trott2_mean,trott2_sem,n_trott2,ratio_trott1_over_pqc,ratio_trott2_over_pqc
3.0,0.08,0.033704936220883774,0.008732131017697287,30,0.5359769903978456,0.26361977237194023,0.01598925834593291,300,0.1375854073455381,0.012246053543835386,300,7.821399531638926,4.082055116315258
3.0,0.1,0.06960952250249187,0.021319034744429356,30,0.49228713299720706,0.21352090206628052,0.013814997882779775,300,0.10448342182645351,0.011140103463817438,300,3.067409377196014,1.5009932272228017
3.0,0.2,0.01787313705874237,0.009875680853261716,30,0.3431805697780512,0.09640636483440666,0.010131294269146471,300,0.05684163201232262,0.009188675434348113,300,5.393925225188768,3.18028289188995
3.0,0.3,0.02934187450126165,0.0194007772545168,30,0.25329677868998224,0.06993583771058423,0.009209555830636429,300,0.031197435436926692,0.006400259571159462,300,2.383482272326436,1.0632393453794253
3.0,0.4,0.004333495882819898,0.0027339627496150926,30,0.1935748518577186,0.04304119028336499,0.007692064713175073,300,0.02754285255797143,0.0055511116550507125,300,9.93220980179106,6.355804482742167
3.0,0.5,0.0019852216909001337,0.0011800806426283726,30,0.1577450810184973,0.026061839433037554,0.004988377400205163,300,0.017115908729040806,0.004364775984019803,300,13.12792397569496,8.621661151244101
4.0,0.0,1.0108411313599468,0.006605482076589289,30,1.1551223792068763,1.0036810494871429,0.003260433310503681,300,0.8679034401338473,0.008004968231419322,300,0.9929167090152228,0.8585952957476151
4.0,0.02,0.046513324820597494,0.02132681523275453,30,0.4856184762308871,0.6488841117065621,0.008412281890937652,300,0.5744917642636159,0.010779851316138737,300,13.950499436652114,12.351122317732353
4.0,0.04,0.05153310488713489,0.026211192084639505,30,0.43167417503892086,0.45598901315484414,0.012137107056711803,300,0.37890362910356784,0.010506275770853018,300,8.848467682153586,7.352625655555254
4.0,0.06,0.005615879833637544,0.001839690723222158,30,0.3926886654348307,0.3211176333662317,0.013228167901768053,300,0.26837043311066466,0.011546159952080854,300,57.18028926524161,47.78778055456263
4.0,0.08,0.03266166682200004,0.02375613199502234,30,0.3552466923541877,0.2479952163961376,0.012782954430816043,300,0.19060947451989782,0.010805888259659922,300,7.592852433026919,5.835877132624115
4.0,0.1,0.00996550982010508,0.004348114212081134,30,0.3218266074313885,0.17651755563108715,0.011379987898964276,300,0.15754346948758077,0.011517127970306977,300,17.71284749275636,15.808872032792756
4.0,0.2,0.01708771695013125,0.016403247015768157,30,0.2112448206981159,0.07390861256170296,0.008832264801167335,300,0.07418676164367162,0.008478456526065496,300,4.325247941395428,4.341525661981532
4.0,0.3,0.00944084489839,0.008282875861679152,30,0.15086214123503475,0.046522996900120704,0.007226127997619489,300,0.03933745339699554,0.0069463061687351085,300,4.927842518422746,4.166730183619898
4.0,0.4,0.020290600734972904,0.0133702744219216,30,0.11520318307224234,0.033406827838310345,0.00638176010195827,300,0.02304920985353196,0.004725279975617378,300,1.6464188652990592,1.1359550244268675
4.0,0.5,0.003117229639574809,0.0028961836103819174,30,0.09405313619352833,0.024934395858249848,0.004231549327904525,300,0.02377193528592976,0.0054415911436364265,300,7.998896052345668,7.625981411229062
5.0,0.0,1.0092332364309682,0.006508212121410522,30,1.1239317261633686,1.0083612718634338,0.003183678277467292,300,0.9627660697396841,0.01085009922807171,300,0.999136012830277,0.9539579504380875
5.0,0.02,0.01846321925776374,0.01603293848554587,30,0.3552680441431497,0.6237764973347917,0.011108118165808171,300,0.5965889342083883,0.010677823473010474,300,33.784817730120125,32.312292124111785
5.0,0.04,0.0009556284522444632,0.0004929304178332172,30,0.31833847735401294,0.4164655859847946,0.013213737075966863,300,0.39340738989987545,0.013254092299883368,300,435.80283216416507,411.67400256437355
5.0,0.06,0.019991137242919888,0.013299647216873874,30,0.2839739724451693,0.29147263116657296,0.013947242252131835,300,0.2864617227886067,0.012923454825005627,300,14.580092549252127,14.329436054972847
5.0,0.08,0.010771447311594372,0.010406625445597876,30,0.2560615185232106,0.22803701174777927,0.013920425336408195,300,0.1941795600216126,0.012428958926151057,300,21.17050802470347,18.02724874424238
5.0,0.1,0.0004227699325069095,0.00019212977889705496,30,0.23023266554555172,0.19733443957881738,0.013891524713706253,300,0.15138669772524357,0.011503415210752954,300,466.76554883806045,358.0829337307932
5.0,0.2,0.0017817787827367417,0.001418336903819147,30,0.1499547255781314,0.07571685727023231,0.009697576483982711,300,0.06758731301760294,0.008893300437268171,300,42.49509423046009,37.93249401802367
5.0,0.3,0.00010435244019239242,9.286788970003012e-05,30,0.10517330466116649,0.04943999308025259,0.00824871945190726,300,0.030895021559816556,0.005617775927347912,300,473.7789838848148,296.0641984303965
5.0,0.4,8.855526615600207e-05,6.28998346189724e-05,30,0.0796200397113175,0.038940562652293065,0.007219492977973119,300,0.03183964354359371,0.006014621696298649,300,439.7317555761619,359.54545591341656
5.0,0.5,0.0001330418970535829,0.00011875044186193676,30,0.06554095905765747,0.03021627750898464,0.005949920279938614,300,0.026375256182201802,0.006033710711396469,300,227.11851062086834,198.24774575770755
6.0,0.0,1.013180787407783,0.00845389349566565,30,1.1157209575348175,0.808852836061734,0.009085105044898343,300,0.5273389666337228,0.01276386638268744,300,0.7983302152137913,0.5204786482212286
6.0,0.02,0.03356886384653693,0.018046631698788285,30,0.2839937820570507,0.45148527716219605,0.011954669502277658,300,0.30413998060323505,0.012927947592669839,300,13.449525108332576,9.060180946058772
6.0,0.04,0.0027504032938129187,0.0012906051734596503,30,0.2528964566109165,0.26869771480919913,0.012490988728353771,300,0.17255611180880084,0.011111426788085303,300,97.69393289109253,62.738476279812815
6.0,0.06,0.001929638822055277,0.001236604449404024,30,0.2255833678375513,0.16670745779841592,0.01135658962556528,300,0.11074027005363524,0.009536428249148724,300,86.39308864073028,57.38911799861319
6.0,0.08,0.0006853362689612011,0.00048142931247914544,30,0.203869526970927,0.13802393441013952,0.011687806833329848,300,0.07335411826056944,0.007795809367320061,300,201.39592877427805,107.03376077229356
6.0,0.1,0.014374227845765218,0.01411845799024778,30,0.18276451252025605,0.11220784748620434,0.010831961956046332,300,0.07135923106038336,0.009311208032370243,300,7.806182613089844,4.964387084027366
6.0,0.2,0.02778201037000756,0.01994218247031207,30,0.11396418873072546,0.04346070258832109,0.0065160679147373245,300,0.03233959871888815,0.006122818837983178,300,1.5643469284440148,1.1640481839932215
6.0,0.3,0.0025544422612457426,0.0025023163371228605,30,0.07909402922055979,0.02781498396701617,0.0053119651134813685,300,0.012932777773467524,0.0030755635587860607,300,10.888867753640845,5.062857739896812
6.0,0.4,0.007479640046151876,0.004774324238665614,30,0.06031520764129188,0.015660347649533193,0.0035211637012480842,300,0.007632517557905976,0.0022314093480121882,300,2.093730119752237,1.0204391535970707
6.0,0.5,0.00035705343608369636,0.00028092690603528643,30,0.052488166834177834,0.010875706189310724,0.0029852995929752955,300,0.00809942726401529,0.0023431789555109347,300,30.459603774157117,22.684075954717084
